LocationName,Address1,Address2,Locality,Region,PostalCode,CountryCode,PhoneNumber,Email,Longitude,Latitude,Phone2,Website
Omni Mandalay,6448 Tillard St,,Conisbrough and Denaby Ward,South Yorkshire,DN12 4JF,UK,01412-528394,sol@gmail.com,,,01580-134516,http://www.omnimandalay.co.uk
Lba Savings Bank,3055 Creswick St,,Newbold and Brownsover Ward,Warwickshire,CV21 1LN,UK,01670-234959,louann@gmail.com,,,01488-872531,http://www.lbasavingsbank.co.uk
"Lutz, Christopher T Esq",7 Jolliffe St,,Middlewich,Cheshire,CW10 9GB,UK,01947-566661,lindsay_yadao@yadao.co.uk,,,01481-295251,http://www.lutzchristophertesq.co.uk
Association Of Art Museum Dir,1175 Greig St,,St. Marys Ward,Greater Manchester,M25 0ZN,UK,01532-497454,malika@gmail.com,,,01705-208145,http://www.associationofartmuseumdir.co.uk
L & L Sales Co Inc,636 Portland Place,,Gresham Ward,Middlesbrough,TS1 4RG,UK,01743-977277,stefany@hotmail.com,,,01704-986828,http://www.llsalescoinc.co.uk
"Cavuto, John A",41 Benedict St,,Aldborough Ward,Greater London,IG2 7QG,UK,01599-245408,acratch@gmail.com,,,01695-305111,http://www.cavutojohna.co.uk
Pacific Coast Packaging,62 Margaret St,,Royal Hospital Ward,Greater London,SW3 4ND,UK,01345-400452,giuseppe@yahoo.com,,,01866-845669,http://www.pacificcoastpackaging.co.uk
Storm Eye Institute,5152 Sophia St,,Woodstock Ward,South Gloucestershire,BS15 8DS,UK,01655-519837,kbassil@bassil.co.uk,,,01783-446052,http://www.stormeyeinstitute.co.uk
Automation Engrg & Mfg Inc,1 Back Canning St,,Dunblane and Bridge of Allan W,Stirling,FK9 4LD,UK,01837-530939,wendell_rubano@hotmail.com,,,01752-386691,http://www.automationengrgmfginc.co.uk
Packaging Corp Of America,9 Gradwell St,,Kempshott Ward,Hampshire,RG22 5HA,UK,01262-808399,stevie_stifflemire@stifflemire.co.uk,,,01411-169215,http://www.packagingcorpofamerica.co.uk
"Goe, Douglas E Esq",9205 Upper Hill St,,City and Hunslet Ward,West Yorkshire,LS1 5QE,UK,01350-332706,yun_paletta@paletta.co.uk,,,01374-255198,http://www.goedouglaseesq.co.uk
Burgess Steel Products Corp,9 Horatio St,,Ruckinge,Kent,TN26 2PN,UK,01686-306597,bthurm@yahoo.com,,,01970-890023,http://www.burgesssteelproductscorp.co.uk
Tipton & Hurst,61 Miriam St,,Abbey Road Ward,Greater London,NW8 9BD,UK,01537-356648,billy.venus@yahoo.com,,,01703-435212,http://www.tiptonhurst.co.uk
A O Hardee & Son Inc,67 Pulford St,,Prittlewell Ward,Essex,SS2 6NL,UK,01388-416867,brynn@yahoo.com,,,01345-625433,http://www.aohardeesoninc.co.uk
"Jonson, Geo D Esq",821 Pembroke Place,,Kirkby Stephen,Cumbria,CA17 4RZ,UK,01589-654152,epiehler@piehler.co.uk,,,01586-387018,http://www.jonsongeodesq.co.uk
Dale Yoder Clu Life Hlth & Bus,3 Alder St,,Eaton Park Ward,Stoke-on-Trent,ST2 9AW,UK,01780-704167,ashulick@yahoo.com,,,01268-233798,http://www.daleyoderclulifehlthbus.co.uk
Council Of Cmnty Blood Ctrs,80 Morecambe St,,Bishop Auckland,County Durham,DL14 6NG,UK,01355-192668,bettina.kham@kham.co.uk,,,01340-622388,http://www.councilofcmntybloodctrs.co.uk
"Tremont, Michael A Esq",7866 Renshaw St #283,,Falmouth,Cornwall,TR11 4QQ,UK,01823-526645,velda_mancilla@mancilla.co.uk,,,01368-456268,http://www.tremontmichaelaesq.co.uk
"Trautman, Eileen Esq",658 Lake St,,Malmesbury,Wiltshire,SN16 0XZ,UK,01777-469402,marta.brace@brace.co.uk,,,01631-454193,http://www.trautmaneileenesq.co.uk
Office Service Co,5382 Redfern St,,West End Ward,Greater London,W1J 0QH,UK,01961-642757,juan_vanwyhe@gmail.com,,,01728-150282,http://www.officeserviceco.co.uk
Alphabetland Pre School Center,45 Bidder St #38,,Town Ward,Greater London,EN1 3HT,UK,01367-136951,lelia.filion@filion.co.uk,,,01322-715065,http://www.alphabetlandpreschoolcenter.co.uk
Shamrock Food Service,6766 Britton St #379,,Crompton Ward,Greater Manchester,BL1 3EX,UK,01912-749219,ufrankel@hotmail.com,,,01308-356704,http://www.shamrockfoodservice.co.uk
Central Hrdwr & Elec Corp,7 Lear Rd,,Stroud,Hampshire,GU32 3PQ,UK,01779-720349,eva.joulwan@gmail.com,,,01961-802899,http://www.centralhrdwreleccorp.co.uk
Matt Parrott & Sons Co,2577 Toxteth St #5,,Overton Ward,Lancashire,BB6 7UN,UK,01527-579687,mammie_dormanen@hotmail.com,,,01439-184366,http://www.mattparrottsonsco.co.uk
Tiny Tots Originals Div,761 Cockerell St #1,,Midway Ward,Derbyshire,DE11 0HE,UK,01927-790069,jeannetta_coolidge@gmail.com,,,01440-276155,http://www.tinytotsoriginalsdiv.co.uk
"Lovitch, Alan F",9 Cypress St,,Washington East Ward,Tyne and Wear,NE38 9AQ,UK,01753-784273,edrawe@drawe.co.uk,,,01496-526674,http://www.lovitchalanf.co.uk
Wise Industries,6 Romilly St,,Walkergate Ward,Tyne and Wear,NE6 4YH,UK,01312-233253,lenny.gazzola@yahoo.com,,,01342-706893,http://www.wiseindustries.co.uk
East County Process,51 St Anne St #12,,Stratfield Mortimer,Berkshire,RG7 3RA,UK,01241-273991,mira.alpheaus@yahoo.com,,,01381-836777,http://www.eastcountyprocess.co.uk
Agopgee Enterprises Inc,823 Idris St,,Selston,Nottinghamshire,NG16 5LG,UK,01898-134749,cathern.ungar@ungar.co.uk,,,01266-671305,http://www.agopgeeenterprisesinc.co.uk
L Winik & Associates Inc,8764 Nickleby St #877,,Govan Ward,Glasgow City,G51 1BQ,UK,01478-110943,malcom.fleckles@gmail.com,,,01937-120539,http://www.lwinikassociatesinc.co.uk
"Rosati, Marc D Esq",5344 Bengel St #5,,Millwall Ward,Greater London,E14 5DR,UK,01402-733903,mdamato@damato.co.uk,,,01440-164945,http://www.rosatimarcdesq.co.uk
Rust Evader Corp,8880 Great Howard St #7750,,Sefton,Merseyside,L29 7WD,UK,01358-446391,lfletchen@gmail.com,,,01414-780251,http://www.rustevadercorp.co.uk
Budget Annex,9 Oakleigh,,Lancing,West Sussex,BN15 9BN,UK,01448-211489,berry@gmail.com,,,01929-400879,http://www.budgetannex.co.uk
Kiqo Pure Gold Oldies 104 Fm,83 Denbigh St Bootle,,St. Gluvias,Cornwall,TR3 7AZ,UK,01462-474800,meghan@riherd.co.uk,,,01650-129106,http://www.kiqopuregoldoldiesfm.co.uk
Segall Majestic Inc,30 Aughton St,,Hilton,Aberdeenshire,AB24 2RR,UK,01240-600327,mike_torner@torner.co.uk,,,01408-918612,http://www.segallmajesticinc.co.uk
Taos Valley Resort Assn,260 Saxon St,,Brooklands Ward,Greater Manchester,M33 4BP,UK,01537-525550,elsa_delisle@gmail.com,,,01204-471598,http://www.taosvalleyresortassn.co.uk
Exhibit Crafts Inc,3 Pyramid St,,Eccleston Ward,Merseyside,WA10 3BW,UK,01546-942059,linwood.rosenlof@yahoo.com,,,01244-769346,http://www.exhibitcraftsinc.co.uk
